module_id,module_code,module_title,department,primary_lead_name,omission_reason,description_preview,gap_aspect_count
module_50dd5aa71f962a87,FM5604,Public Relations and Media Strategies Major Project,"Department of Social Sciences, Media and Communications",Dr Billur Ozgul,Narrow Domain (Below Interdisciplinary Aspect Thresholds),The dissertation module enables students to produce a substantial piece of research on a topic agreed with a supervisor in the area of Media and Public Relation...,0
module_51d026aeb9c24d29,,Materials and Manufacturing,Brunel Design School,Dr Mohammed Elsouri,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"Aim: To enable students to develop the fundamental knowledge of materials science and materials engineering, properties for various materials, the selection pro...",0
module_5276750ff411d3fc,PP2629,PP2629 - The State and Revolution,"Department of Social Sciences, Media and Communications",Professor Peter D. Thomas,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module provides students with an understanding of the historical emergence of two of the central concepts of modern political thought: the state and revolu...,0
module_52cdb1c5240fe153,EN5601,"EN5601 - Reading, Research and Writing",Department of Arts and Humanities,Professor Jago Morrison,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module aims to introduce or build upon research skills usually gained during undergraduate studies by honing your approach and technique to a standard requ...,0
module_535dafb158433c3e,,Graduation Project,Department of Electronic and Computer Engineering,Dr Arthur Money,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"The module aims to provide students with the opportunity to design, execute, report and demonstrate a substantial individual project in a professional manner an...",0
module_56479ad4126abaf8,PH1603,PH1603 - Anatomy 2: Upper Quadrant,Department of Health Sciences,Dr Amanda Ager,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module will introduce the student to the normal structure and function of the human body. The student will be introduced to the structural and functional a...,0
module_576bd8c5fdea1c91,SP2621,"SP2621 - Sport, Social Issues and Video Production",Department of Life Sciences,Dr Laura Hills,Sparse / Missing Syllabus Description,,0
module_58fb6aa8058242ff,,Principles of Heat Transfer,Department of Mechanical and Aerospace Engineering,Professor Tassos Karayiannis,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module aims to present theory and practical concepts of single and two-phase heat transfer. Students will learn to extend the analytical study of heat tran...,0
module_59d97550956470c0,FM3644,FM3644 - Gender and Sexuality,Department of Arts and Humanities,Dr Kate Houlden,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module is largely led by feminist theory and queer theory where we examine a range of identities onscreen in relation to gender and sexuality. A number of ...,0
module_5ab63c317b2b94c7,SP2615,SP2615 - Graduate and Transferable Skills,Department of Life Sciences,Dr Sofia Barbosa Boucas,Narrow Domain (Below Interdisciplinary Aspect Thresholds),The aim of this module is to introduce a range of knowledge and skills expected within working environments. Students will develop their ability to engage in se...,0
module_5b93ee45307b2a2d,CW2602,CW2602 - Fiction II,Department of Arts and Humanities,Dr Anneleen Kenis,Narrow Domain (Below Interdisciplinary Aspect Thresholds),The short story is one of the most powerful and satisfying forms of writing to produce. This module focusses on writing and understanding intricate masterpieces...,0
module_5bac260559ae1912,,Major Project - Practice-based Research,Department of Arts and Humanities,Dr Stuart Andrews,Sparse / Missing Syllabus Description,,0
