module_id,module_code,module_title,department,primary_lead_name,omission_reason,description_preview,gap_aspect_count
module_84a22eebb8d006d7,JR5615,JR5615 - Extended Practical Project,"Department of Social Sciences, Media and Communications",Dr Magali Peyrefitte,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"To complete your course, you will have the choice of a Dissertation or an Extended Practical Project. The Extended Practical Project module will offer you the o...",0
module_84c0fb34ec378e8f,,Procurement and Contract Management,Department of Civil and Environmental Engineering,Dr Nuhu Braimah,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module aims to give a critical awareness and comprehensive understanding of available procurement strategies and procedures for administering contracts wit...,0
module_861fd74dfa332654,SO2615,SO2615 - Understanding Cities and Inequalities,"Department of Social Sciences, Media and Communications",Dr Rohini Rai,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module is introduces students to the links between social inequalities and urban transformations and apply this understanding to London. Processes of urban...,0
module_868cd28ba72b819f,EN2609,EN2609 - Professional Life,Department of Arts and Humanities,Dr Luke Heslop,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"When you leave university – what happens next? What are your career aspirations? How will you realise them? In this module, you will gain confidence and experie...",0
module_88ee0d2bdcd943f1,JR3612,"JR3612 - Fake News, Images & Websites","Department of Social Sciences, Media and Communications",Dr Billur Ozgul,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"The module aims to engage students with historical and contemporary debates about political hoaxes, fake news, images and videos and websites. The academic lite...",0
module_8a594375a2f7c15a,ED1714,ED1714 - Education Work Placements 1,Department of Education,Dr Paula Zwozdiak-Myers,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This study block aims to understand how the major disciplines of education impact upon professional communities, to provide opportunities to link the knowledge,...",0
module_8a6917c1d676c757,CE2619,CE2619 - Soil Mechanics,Department of Civil and Environmental Engineering,Dr Philip Collins,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"Aims: To cover the fundamental multi-phase nature of soil; the effective stress concept, consolidation problems; to develop students’ understanding of the basic...",0
module_8a7a8ca946b9fa9c,,Emergent Wireless Network Technologies,Department of Electronic and Computer Engineering,Professor John Cosmas,Narrow Domain (Below Interdisciplinary Aspect Thresholds),The module aims to gain general understanding of next generation mobile communications such as Long-Term Evolution – Advanced (LTE-A) and 5th generation wireles...,0
module_8b1065a377073151,,Developing skills for practice,Department of Health Sciences,Dr Allison Wiseman,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module will prepare the foundation for students to provide nursing intervention and support for people of all ages who require nursing procedures during th...,0
module_8ba772e538121a55,SA5599,SA5599 - Guided Study Module,"Department of Social Sciences, Media and Communications",Professor Peggy Froerer,Narrow Domain (Below Interdisciplinary Aspect Thresholds),To help students to gain a critically defined knowledge of the relevant research to that key problem or question; To enable students to make a critical evaluati...,0
module_8c97502d46885ffd,EN3627,EN3627 - Author Study: Chaucer to Shakespeare,Department of Arts and Humanities,Professor Jago Morrison,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module is an exploration of two canonical English writers, Geoffrey Chaucer and William Shakespeare. It examines a number of key texts by these two authors...",0
module_8d0bb860a0af5fab,PX3XXA,PX3XXA - Primary Source Workshop,Department of Social and Political Sciences,Professor Peter D. Thomas,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This aim of this module is to develop students’ skills in formulating findings on a selected historical topic or topics, using primary source materials. It intr...",0
module_8d30cdc30cd7d314,NURSINGPRACTICEFORPART1,Nursing Practice for Part 1,Department of Health Sciences,Dr Allison Wiseman,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module will introduce the nursing student to the care environment, under supervision, in which the essentials of caring skills are delivered. The practice ...",0
module_8eef926bf7961072,ED5706,ED5706 - Comparative and International Education,Department of Education,Dr Giannis Stefanos Efthymiou,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"The aims of this study block are to develop a critical understanding of how education systems, policies and practices are shaped across different national and c...",0
module_8f3b87d132345301,APPLIEDRESEARCH,Applied Research,Department of Health Sciences,Dr Cristina Asenjo Palma,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This inter-professional module will develop the student’s ability to critically understand and conceptualise the process of research and improvement in health a...,0
module_8f4471750c003a14,SP1609,Sport Development Issues and Policy,Department of Life Sciences,Dr Laura Hills,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module aims to encourage students to identify and understand social phenomena associated with sports in contemporary society. Students are introduced to so...,0
module_8f4a369c48122568,EE5121,EE5121 - Power System Stability and Control,Department of Electronic and Computer Engineering,Dr Ahmed F. Zobaa,Narrow Domain (Below Interdisciplinary Aspect Thresholds),The main aims of this module are to develop the students ability to critically assess different theories and techniques associated with power stability and cont...,0
module_8f6cef738f72a5c7,PX2621,"PX2621 - Fascist Italy, 1919-1945: Revolution, Conflict and Collapse",Department of Social and Political Sciences,Dr Richard Hammond,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module explores the rise and fall of Fascist Italy through political, socio-cultural, economic and military perspectives, among others.",0
module_8f9fb4fa88a8080f,LX2604,LX2604 - Land Law,Department of Social and Political Sciences,Dr Anna Tuckett,Narrow Domain (Below Interdisciplinary Aspect Thresholds),Land Law enables students to learn and critically interrogate the key concepts and operations of modern Land Law within its historical and social context. It ex...,0
module_8fc6d8733ee6cbff,SA2621,"SA2621 - Kinship, Sex and Gender","Department of Social Sciences, Media and Communications",Dr Isak Niehaus,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"An introduction to some of the key social anthropological literature on kinship, gender and sexuality including universalities and particularities in the constr...",0
module_902c65e033da7e05,,EE5550 - Radio and Optical Communication Systems,Department of Electronic and Computer Engineering,Professor John Cosmas,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module aims to consider the operation of radio and optical frequency systems and their integration into global systems for effective communications.,0
module_913f338b74f7ef49,PX3626,PX3626 - Primary Source Workshop,Department of Social and Political Sciences,Dr Paul Moody,Sparse / Missing Syllabus Description,,0
module_924b042525e8dc66,SA2624,"SA2624 - Middle East: Societies, Religion and Politics","Department of Social Sciences, Media and Communications",Dr Maria Kastrinou,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module examines a particular ethnographic region, assessing in the first instance whether these regions can usefully be considered cultural areas, and goin...",0
module_92c86f9a1e5f9e51,HUMANSEXUALDIVERSITY,Human Sexual Diversity,Department of Life Sciences,Dr Nelli Ferenczi,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module introduces students to the psychological and biological study of sexual and gender diversity. Topics include sexual orientation, biological sex vari...",0
module_92f7101b469c805d,FM2640,FM2640 - Professional Filmmaking,Department of Arts and Humanities,Dr Paul Moody,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This is a single term version of the two-term Advanced Filmmaking module. This is a single term version of the two-term Advanced Filmmaking module to be taken b...,0
module_93bb5e6430f7a523,,Introduction to English for Academic Purposes,Department of Electronic and Computer Engineering,Dr Monica Pereira,Narrow Domain (Below Interdisciplinary Aspect Thresholds),The module aims to engage you in collaborative learning and independent self-study to consolidate and improve essential subskills in order to become more confid...,0
module_94a3b90daf9be6ca,PP3621,PP3621 - Parliamentary Studies,Department of Social and Political Sciences,Professor John Roberts,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module aims to provide students with a detailed understanding of the UK Parliament by examining its structure, internal processes, and different committees...",0
module_952d5c10d82eb180,,Enhancing Skills for Mental Health Nursing,Department of Health Sciences,Professor Ann Gallagher,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module will build on and enable students to further develop their knowledge and skills required for their role in assessing and initiating person-centred c...,0
module_959da63fa6ed3719,CE3615,CE3615 - Geotechnical Engineering,Department of Civil and Environmental Engineering,Dr Philip Collins,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module aims to develop students’ understanding of the basic principles of seepage, consolidation and shear strength of soils. It will introduce students to...",0
module_96d91a202510f945,PP26XX,PP26XX - Plato’s Republic,Department of Social and Political Sciences,Professor Peter D. Thomas,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"To explore in depth the foundational text in the history of political thought To develop an understanding of some of the main ideas, themes, images and tropes i...",0
module_96f8e0ff31a5ef24,LX2611,LX2611 - Criminal Law and Criminal Justice systems,Department of Social and Political Sciences,Dr Matthew Cracknell,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module provides students with a comprehensive understanding of key aspects of criminal law and the criminal justice system to equip you with the knowledge ...,0
module_970ceec1e3c0dde8,ED5618,ED5618 - Education Studies II,Department of Education,Dr Paula Zwozdiak-Myers,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module aims to develop understanding of the learning, teaching and assessment of the National Curriculum for Key Stage 1 & 2, in the Core (English, Mathema...",0
module_9927ce774ef63a23,CY3611,CY3611 - Criminal Law in Context,Department of Social and Political Sciences,Dr Anamika Twyman-Ghoshal,Narrow Domain (Below Interdisciplinary Aspect Thresholds),Equipping students with a critical understanding of the socio-legal context of key aspects of the criminal law in England and Wales. These include violent and s...,0
module_997d73ea5b0680eb,,Building Heat Transfer and Air Conditioning,Department of Mechanical and Aerospace Engineering,Dr Ali Badiei,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module aims to familiarise the students with principles of heat transfer, to develop the principles of building heat transfer, to examine the dynamic therm...",0
module_9a2888832a13a63f,LX2080,LX2080 - Law of Tort,Department of Social and Political Sciences,Dr Anna Tuckett,Narrow Domain (Below Interdisciplinary Aspect Thresholds),To familiarise students with the key principles that underpin this branch of the common law and to introduce them to the main aims of functions of tort and its ...,0
module_9a4b340a1e70eb67,,Enhancing Skills for Adult Nursing,Department of Health Sciences,Dr Mark Wareing,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module will build on and enable students to further develop their underpinning knowledge and skills required for their role in assessing and initiating per...,0
module_9a78f2eb4a8d8c01,PH5671,PH5671 - Principles of Rehabilitation,Department of Health Sciences,Dr Amanda Ager,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module will allow students to develop knowledge of the theoretical basis of human movement, function, exercise prescription, motor learning and skill (re)a...",0
module_9c14d57adce2aa3b,DR2631,DR2631 - Acting as a Critical Practice,Department of Arts and Humanities,Dr Katerina Paramana,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module will extend your knowledge of acting by introducing realist and non‑realist approaches as critical tools for representing social realities. It also ...,0
module_9c292e80954a5300,ED2710,ED2710 - Educational Spaces,Department of Education,Dr Gwen Ineson,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This study block aims to develop an understanding of the contrasting range of education arenas – including formal, non formal and informal, to develop an unders...",0
module_9c343545872942c6,PH5643,PH5643 - Management of the Pelvic Health Patient,Department of Health Sciences,Mrs Paula Igualada-Martinez,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module will develop the practical skills for the treatment and management of the pelvic health patient (including antenatal and postnatal care, urology, gy...",0
module_9c58ae8fc585351e,PP5618,PP5618 - Politics and Digital Cultures,Brunel Business School,Dr Billur Ozgul,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"The module, in exploring the relationship between politics and digital cultures, aims to develop students’ critical knowledge and understanding of the interplay...",0
module_9c62d922aacbc255,PX2615,PX2615 - Colonialism and Decolonization in Africa,"Department of Social Sciences, Media and Communications",Dr Hannah Whittaker,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"Africa is one of the most misunderstood and misrepresented regions of the modern world. More often than not, its history is presented as a long series of human ...",0
module_9d19e17de9eba9c7,EC3616,EC3616 - International Money and Finance,"Department of Economics, Finance and Accounting",Miss Dilruba Karim,Saturated / Fully Covered by Primary Lead,"This module aims to provide students with an understanding of the key issues in International Money, International Macroeconomics, and International Finance.",1
module_9d48a9d9055abd03,NURSINGPRACTICEMODULEFORPART3,Nursing Practice Module for Part 3,Department of Health Sciences,Dr Allison Wiseman,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"The aim of this module is to provide opportunities for the nursing student to expand their knowledge and skills of nursing care, leadership, managing nursing ca...",0
module_9e5dfebd8f4f1afc,EC2616,EC2616 - Monetary Economics,"Department of Economics, Finance and Accounting",Dr Angeliki Theophilopoulou,Saturated / Fully Covered by Primary Lead,"The main aims of the module are to familiarise students with functions of money, interaction of money supply and demand, operations of financial intermediaries ...",1
module_9f935ddb306a6d8a,,Clinical Placement B,Department of Arts and Humanities,Dr Katerina Paramana,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module will enable you to demonstrate an in-depth applied knowledge of the therapeutic use of dramatherapy for the assessment, recovery and treatment of he...",0
module_a1358579110d668e,CO5604,CO5604 - Media Production as Activism,"Department of Social Sciences, Media and Communications",Dr Billur Ozgul,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module will enable students to develop a broad range of practical skills by using creative practice to respond to, critique and challenge social issues. It...",0
module_a1dd3042097406ae,LX5641,"LX5641 - Regional Systems of Human Rights Protection: Americas, Africa, Asia",Department of Social and Political Sciences,Professor Nicola Ansell,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"Providing a detailed overview of the American and African human rights frameworks, as well as the emerging Asian human rights framework, allowing you to study a...",0
module_a30ce9d7f144d75f,SO2610,"SO2610 - Colonialism, Migration and Global Racism","Department of Social Sciences, Media and Communications",Dr Rohini Rai,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module explores the concept, meaning and practices of ‘race’, ethnicity, racialization, and global racisms. It identifies how ‘race’ and racism have evolve...",0
module_a30d3b5bcc8001f2,EN3624,EN3624 - Writing Otherness: The Muslim World in Early Modern Literature,Department of Arts and Humanities,Professor Jago Morrison,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"Canonical studies of Early Modern literature often ignore the central role of ethnic and religious Otherness, situating texts primarily in relation to European ...",0
module_a36ac7a32f698c5e,ED2711,ED2711 - Education in Literature and the Media,Department of Education,Dr Andrew Green,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This study block aims to demonstrate an understanding of the different ways in which writers in literary texts have represented education over time, to demonstr...",0
module_a38d4121782f8f75,FM3645,FM3645 - The Horror Film,Department of Arts and Humanities,Dr Paul Moody,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module provides students with an in-depth examination of the horror genre across both film and television. Critical frameworks and theories relevant to the...,0
module_a3e94edfb8761ed3,LX3646,"LX3646 - Families, Children and the Law",Department of Social and Political Sciences,Dr Rachel Stuart,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module examines the law relating to the different forms of families and family relationships, the rights of children and responsibilities of parents, arran...",0
module_a6262e99ac01f306,APPLIEDRESEARCH,Applied Research,Department of Health Sciences,Professor Fiona Verity,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This interprofessional module will develop the student’s ability to critically understand and conceptualise the process of research and improvement in health an...,0
module_a758c278fa300df9,CO5601,CO5601 - Media as Power,Brunel Business School,Dr Billur Ozgul,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module will enable students to analyse and understand the concept of power in relationship to the role of the media in contemporary society. It will examin...,0
module_a80e381d93b52d4d,CM56BB,CM56BB - Mandatory Training Year 2,Department of Health Sciences,Miss Alex Harvey,Sparse / Missing Syllabus Description,,0
module_a86e40e9a277dea6,OT5607,OT5607 - Enabling Occupation and Advancing Practice 2: Working with Adults of Working Age,Department of Health Sciences,Ms Tai Frater,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This is the second of three modules that aim to examine how occupational therapists work with people throughout the life cycle, here with adults of working age....",0
module_a92b298a04483aff,PH1601,PH1601 - Principles of Rehabilitation,Department of Health Sciences,Dr Mahsa Kheirollahzadeh,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module will allow students to develop knowledge of the theoretical basis of human movement, function, exercise prescription, motor learning and skill (re)a...",0
module_a93b6aa36d3738bf,SA2622,"SA2622 - Culture, Education and Learning","Department of Social Sciences, Media and Communications",Professor Peggy Froerer,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module explores key theoretical issues in the cross‑cultural study of education , examining how culture shapes learning and how educational practices, in t...",0
module_a98985a151b787a0,DR16DD,DR16dd - Making Theatre,Department of Arts and Humanities,Dr Katerina Paramana,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module emphasises the creative making process rather than the finished theatre product. Sessions will introduce theatre-making tools, inviting you to devel...",0
module_aa1918c16b435efe,ED2707,ED2707 - The Social Study of Children and Young People,Department of Education,Dr Lewis Fogarty,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This study block focuses on the social study of childhood and aims to enable students to demonstrate an understanding of the contribution of sociological framew...,0
module_aa8e2744f50d7d2e,TB,Quality Management and Reliability,Department of Mechanical and Aerospace Engineering,Dr Moschos Papananias,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module aims to provide an in-depth understanding of the principles of modern quality assurance which underpin the discipline and their applications in engi...,0
module_ab1a85bfc368fa47,LX1605,LX1605 - Contract Law and Civil Justice Systems,Department of Social and Political Sciences,Dr Anna Tuckett,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This study block aims to explain: Legal principles applicable to legally binding agreements between parties and the effects of any defects in their formation or...,0
module_ab3277c93957becf,,Skills for Registration,Department of Health Sciences,Dr Allison Wiseman,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module aims to equip students with the knowledge and skills required for their role in providing and evaluating person-centred care. This module will prepa...,0
module_ab67a2dbaabc4ea5,,Performing Resilience,Department of Arts and Humanities,Dr Stuart Andrews,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module engages students in the practice of resilience through the investigation of connections between ideas, practices and policies with the performance o...",0
module_ac26b972973ad9e8,GC2600,GC2600 - Responses to Global Challenges,Department of Social and Political Sciences,Professor Nicola Ansell,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"The module cultivates a critical understanding of the ways in which responses to global challenges are organised, and prepares students with the knowledge, skil...",0
module_ac36cf97c61229bd,PH2607,PH2607 - Neurorehabilitation,Department of Health Sciences,Dr Amanda Ager,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module aims to provide the student with the opportunity to develop neurological physiotherapy assessment and treatment skills, and clinical reasoning and e...",0
module_ace50a478020625a,,Electrical Services and Lighting Design,Department of Mechanical and Aerospace Engineering,Professor Maria Kolokotroni,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module aims to provide the essential appreciation and understanding of electrical services design in building services applications, with particular refere...",0
module_ad42886d1e28cc75,,Literature and History,Department of Arts and Humanities,Professor Jago Morrison,Narrow Domain (Below Interdisciplinary Aspect Thresholds),It is true that our degree is rooted in the present and often looks to the future. But it would be a mistake to think that literature’s historical origins of li...,0
module_ad73196d0b736e47,FM3649,FM3649 - Movies and Migration,Department of Arts and Humanities,Dr Jon Hackett,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"Films are border-crossing entities. From the early days of cinema, films, cast and crew have travelled internationally to find audiences and sometimes, to flee ...",0
module_af2b2fd7cfd2a3fe,EN3623,"EN3623 - Literature, Gender, Sexuality: The Women's Movement",Department of Arts and Humanities,Dr Kate Houlden,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"Brunel English has been a leader in feminist theory since its formation over 25 years ago. The Women’s Movement is a defining modern social undertaking, a radic...",0
module_afd1265eb4466d23,0,"Reproduction, Growth & Ageing",Brunel Medical School,Unassigned Lead,Sparse / Missing Syllabus Description,,0
module_b0052ca67668e0fb,SA3615,SA3615 - War and Humanitarianism,"Department of Social Sciences, Media and Communications",Dr Isak Niehaus,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module aims to provide students with a critical understanding of the main themes in the anthropology of war and humanitarian assistance. These include the ...,0
module_b099423c96174a97,,Research Methods (1),Department of Health Sciences,Dr Allison Wiseman,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module is designed to enable students to develop an ability to reflect on their practice and keep abreast of new and emerging developments in nursing, heal...",0
module_b1699bd8f56f5a22,LX5637,LX5637 - Multiculturalism and Human Rights,Department of Social and Political Sciences,Dr Peter Wilkin,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"Multiculturalism and Human Rights grapples with the various human rights issues, debates and dilemmas present in multicultural societies. It introduces students...",0
module_b2b4c1f482119c50,SA5636,"SA5636 - Culture, Education and Learning","Department of Social Sciences, Media and Communications",Professor Peggy Froerer,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"To provide students with a broad appreciation of the key issues in cross-cultural perspectives on education and learning, an understanding, ethnographically and...",0
module_b359e3d939a98480,,Professionalism and the Developing Occupational Therapist 4: Leadership and Entrepreneurial Practice,Department of Health Sciences,Ms Tai Frater,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This study block aims to provide students with preparation for practice as qualified health professionals, through further development of understanding of profe...",0
module_b37ee9d5a521f974,JR5622,"JR5622 - Fake News, Images and Websites","Department of Social Sciences, Media and Communications",Dr Billur Ozgul,Narrow Domain (Below Interdisciplinary Aspect Thresholds),The module aims to provide postgraduate students with a critical knowledge and understanding of how different disciplines have sought to make sense of political...,0
module_b3ce53acf1a03ff1,,English for Engineering,Department of Electronic and Computer Engineering,Dr Monica Pereira,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module is designed to develop learners' English level in all 4 skills from IELTS 5.0 to IELTS 5.5 or equivalent.,0
module_b428fa0ddf29222c,EE2654,EE2654 - Electronic Systems,Department of Electronic and Computer Engineering,Professor John Cosmas,Narrow Domain (Below Interdisciplinary Aspect Thresholds),The module aims to provide an appreciation and understanding of the theory and operation of electronic circuit design with consideration to single and multi-dev...,0
module_b42b2a90ad7c41cb,LX5644,LX5644 - Trade Marks and Allied Rights,Department of Social and Political Sciences,Dr Alison Carrol,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module will prepare you for the challenges they will face when they enter practice as it will cover all major practical knowledge needed in a competitive I...,0
module_b44182c648250301,JR1XXX,Newspaper Practice,Department of Social and Political Sciences,Dr Billur Ozgul,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"The Hillingdon Herald is at the centre of journalism education at Brunel. The newspaper is not only a community-focused publication, it also empowers students t...",0
module_b44df0222f1540d7,SW5627,SW5627 Becoming a Social Worker,Department of Health Sciences,Dr Yohai Hakak,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module prepares students to understand the profession’s ethical principles and recognise the impact of own values in professional practice. Thus, the abili...",0
module_b60faa5f7e72991f,SO3615,SO3615 - Global Migration,"Department of Social Sciences, Media and Communications",Dr Rohini Rai,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"Equips students with an understanding of the key concepts in global migration including the causes and consequences of migration, national and international res...",0
module_b661a5043608dced,ED1709,ED1709 - Understanding Concepts in Education,Department of Education,Dr Gwen Ineson,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This study block aims to enable students to develop an ability to reflect critically on some of the more important theories and contributions to an understandin...,0
module_b696ceec20d7ef9a,,Reviewing the Literature to Inform Practice,Department of Health Sciences,Dr Allison Wiseman,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module will enable students to critically appraise different types of evidence in field-specific areas of health and social care. It will aim to develop st...,0
module_b69c5a43e8725510,LX3657,LX3657 - Sentencing & Penology,Department of Social and Political Sciences,Dr Matthew Cracknell,Narrow Domain (Below Interdisciplinary Aspect Thresholds),To provide an integrated examination of the theory and practice of sentencing and punishment. This aim will entail: a consideration of the philosophical and the...,0
module_b8e4b1d91a879ccc,,Advanced Vehicle Propulsion Technologies and Systems,Department of Mechanical and Aerospace Engineering,Professor Thanos Megaritis,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"Main aims: To provide an overview of the state-of-art automotive vehicle powertrain technologies and systems, the legislated CO 2 and pollutant emission regulat...",0
module_b9ec71ca37d1fe77,0,Clinical Practice and Community Care,Brunel Medical School,Unassigned Lead,Sparse / Missing Syllabus Description,,0
module_bb019590d0b44f61,,Chemical Engineering Research Project,Department of Mechanical and Aerospace Engineering,Dr Jun Xia,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"The research project will allow students to demonstrate their knowledge, skills and understanding acquired during the chemical engineering programme within the ...",0
module_bbabf6e916b62eeb,TB,EE5521 - Power System Stability and Control,Department of Electronic and Computer Engineering,Dr Ahmed F. Zobaa,Narrow Domain (Below Interdisciplinary Aspect Thresholds),The main aims of this module are to develop the students ability to critically assess different theories and techniques associated with power stability and cont...,0
module_bbf34bfc14601950,PH5677,PH5677 - Mandatory Training,Department of Health Sciences,Miss Alex Harvey,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This is a core module for all students undertaking the programme. This module is designed to equip you with all the essential skills you will need when you go o...,0
module_bc142fb2072f5c2f,PY36XXB,Ageing and Dementia,Department of Life Sciences,Dr Andre J. Szameitat,Saturated / Fully Covered by Primary Lead,To provide a view of neurological ageing and of the main forms of neurodegenerative cognitive impairment that is based on the most up-to-date clinical research ...,1
module_bcb31c8c970f82ee,CY3612,"CY3612 - Drugs, Crime and Criminal Justice","Department of Social Sciences, Media and Communications",Dr Matthew Cracknell,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module aims to examine historical and current debates concerning the criminalisation of various drugs, including cannabis, heroin, khat, spice. The crimina...",0
module_bcf75a122e63bf0f,TB,Advanced Materials and Manufacturing,Department of Mechanical and Aerospace Engineering,Dr Nithin Amirth Jayasree,Narrow Domain (Below Interdisciplinary Aspect Thresholds),Main aims: To provide a comprehensive understanding of properties of various types of materials choices for lightweight and high-performance structural design. ...,0
module_be25796c7e4de4b0,SO2609,"SO2609 - Gender, Sexuality and Feminism","Department of Social Sciences, Media and Communications",Dr Sara De Benedictis,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module will introduce students to core ideas in feminism via the key concepts of gender and sexuality. It will develop students’ understandings of social s...,0
module_be7157f3d75bc7d1,,Research Methods (2),Department of Health Sciences,Dr Mark Wareing,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module will enable students to understand how evidence is generated, why it is generated and how it influences nursing practice. It will develop an underst...",0
module_be9718f39490d3f0,HUMANSEXUALDIVERSITY,Human Sexual Diversity,Department of Life Sciences,Dr Nelli Ferenczi,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module introduces students to the psychological and biological study of sexual and gender diversity. Topics include sexual orientation, biological sex vari...",0
module_beec2c55d79a56d4,,Military History and Strategic Thought from the Ancients to the Present,Department of Arts and Humanities,Dr Iain Farquharson,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module examines how war has affected the world and the various factors affecting the development of war from the classical period to the present. It provid...,0
module_bf2acb8a5a7c91ae,ENHANCINGSKILLSFORNURSINGPRACTICE(MENTALHEALTH),Enhancing Skills for Nursing Practice (Mental Health),Department of Health Sciences,Dr Mark Wareing,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module will build on and enable the nursing student to further develop their knowledge and clinical skills set. This will involve building upon knowledge a...,0
module_bf31322355ff1541,CW5601,CW5601 - Elements of Fiction,Department of Arts and Humanities,Professor Jago Morrison,Narrow Domain (Below Interdisciplinary Aspect Thresholds),In this module students will analyse and explore the different elements of fiction. The module aims to enable students to: analyse a wide variety of contemporar...,0
module_bf719cfb7c4834d2,SA2626,SA2626 - Qualitative Research in Professional Practice,"Department of Social Sciences, Media and Communications",Dr Magali Peyrefitte,Narrow Domain (Below Interdisciplinary Aspect Thresholds),The module provides training in how to conduct a research project in preparation for a qualitative dissertation in the social sciences. Throughout the module st...,0
module_bfea289d54d56814,FM3651,FM3651 - Movies and Migration,Department of Arts and Humanities,Dr Jon Hackett,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This modular block introduces students to diverse film and documentary representations of migration and related phenomena, while situating these texts within ke...",0
module_c0737276e293b38d,CM56AA,CM56AA - Mandatory Training Year 1,Department of Health Sciences,Miss Alex Harvey,Sparse / Missing Syllabus Description,,0
